case,category,concurrency,run_index,wall_s,completion_tokens,total_tokens,aggregate_completion_tok_per_s,aggregate_total_tok_per_s,contains_target_rate_pct
early_anchor_long_tail,anchor_recall,1,1,3.2726,96,1327,29.3345,405.488,100.0
early_anchor_long_tail,anchor_recall,2,1,5.3801,192,2654,35.6871,493.2994,100.0
middle_anchor_detour,anchor_recall,1,1,4.3534,128,1082,29.4023,248.5414,100.0
middle_anchor_detour,anchor_recall,2,1,7.1212,256,2164,35.949,303.8814,100.0
late_anchor_control,late_control,1,1,3.1741,96,719,30.2448,226.5209,100.0
late_anchor_control,late_control,2,1,5.2081,192,1438,36.8657,276.1084,100.0
decoy_collision,confusable_recall,1,1,4.248,128,803,30.1318,189.0301,100.0
decoy_collision,confusable_recall,2,1,6.9309,256,1606,36.936,231.7159,100.0
routing_table,structured_lookup,1,1,4.2463,128,788,30.1439,185.5733,0.0
routing_table,structured_lookup,2,1,6.9983,256,1576,36.5803,225.1975,0.0
structured_records,structured_lookup,1,1,5.3883,160,831,29.694,154.223,0.0
structured_records,structured_lookup,2,1,7.0499,320,1662,45.3907,235.748,0.0
instruction_persistence,instruction_retention,1,1,4.3345,128,1369,29.5305,315.838,100.0
instruction_persistence,instruction_retention,2,1,6.9979,256,2738,36.5824,391.2602,100.0
multi_hop_bridge,multi_hop,1,1,5.4122,160,795,29.5628,146.8904,100.0
multi_hop_bridge,multi_hop,2,1,8.8385,320,1590,36.2052,179.8948,100.0
payload_dense,dense_noise,1,1,6.5516,192,1419,29.3058,216.5883,100.0
payload_dense,dense_noise,2,1,10.4601,384,2838,36.7109,271.3167,100.0
long_generation_systems,long_generation,1,1,12.963,384,744,29.6228,57.3941,0.0
long_generation_systems,long_generation,2,1,21.6832,768,1488,35.4191,68.6246,0.0
