layer_start,layer_end,page_start,page_end,semantic_class,pin,k_precision_name,v_precision_name,residency_tier,promotion_priority,demotion_priority,recompute_priority,authority,case,budget_pct,kv_layout,range_ordinal,used_pages,prompt_pages,recent_start_page,plan_validation_ok,shadowed_layer_page_matches
0,47,83,165,recent_tail,0,raw,raw,hot,100,0,0,hard,early_anchor_long_tail,50.0,tmh_fidelity_paged_kv,1,166,154,83,True,0
0,31,1,82,prefill_payload,0,int8,int4,warm,25,75,50,hard,early_anchor_long_tail,50.0,tmh_fidelity_paged_kv,2,166,154,83,True,0
32,47,1,82,late_layer_payload,0,int8,int8,warm,35,65,50,hard,early_anchor_long_tail,50.0,tmh_fidelity_paged_kv,3,166,154,83,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,middle_anchor_detour,50.0,tmh_fidelity_paged_kv,0,136,120,68,True,0
0,47,68,135,recent_tail,0,raw,raw,hot,100,0,0,hard,middle_anchor_detour,50.0,tmh_fidelity_paged_kv,1,136,120,68,True,0
0,31,1,67,prefill_payload,0,int8,int4,warm,25,75,50,hard,middle_anchor_detour,50.0,tmh_fidelity_paged_kv,2,136,120,68,True,0
32,47,1,67,late_layer_payload,0,int8,int8,warm,35,65,50,hard,middle_anchor_detour,50.0,tmh_fidelity_paged_kv,3,136,120,68,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,late_anchor_control,50.0,tmh_fidelity_paged_kv,0,90,78,45,True,0
0,47,45,89,recent_tail,0,raw,raw,hot,100,0,0,hard,late_anchor_control,50.0,tmh_fidelity_paged_kv,1,90,78,45,True,0
0,31,1,44,prefill_payload,0,int8,int4,warm,25,75,50,hard,late_anchor_control,50.0,tmh_fidelity_paged_kv,2,90,78,45,True,0
32,47,1,44,late_layer_payload,0,int8,int8,warm,35,65,50,hard,late_anchor_control,50.0,tmh_fidelity_paged_kv,3,90,78,45,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,decoy_collision,50.0,tmh_fidelity_paged_kv,0,101,85,50,True,0
0,47,50,100,recent_tail,0,raw,raw,hot,100,0,0,hard,decoy_collision,50.0,tmh_fidelity_paged_kv,1,101,85,50,True,0
0,31,1,49,prefill_payload,0,int8,int4,warm,25,75,50,hard,decoy_collision,50.0,tmh_fidelity_paged_kv,2,101,85,50,True,0
32,47,1,49,late_layer_payload,0,int8,int8,warm,35,65,50,hard,decoy_collision,50.0,tmh_fidelity_paged_kv,3,101,85,50,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,routing_table,50.0,tmh_fidelity_paged_kv,0,99,83,49,True,0
0,47,49,98,recent_tail,0,raw,raw,hot,100,0,0,hard,routing_table,50.0,tmh_fidelity_paged_kv,1,99,83,49,True,0
0,31,1,48,prefill_payload,0,int8,int4,warm,25,75,50,hard,routing_table,50.0,tmh_fidelity_paged_kv,2,99,83,49,True,0
32,47,1,48,late_layer_payload,0,int8,int8,warm,35,65,50,hard,routing_table,50.0,tmh_fidelity_paged_kv,3,99,83,49,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,structured_records,50.0,tmh_fidelity_paged_kv,0,104,84,52,True,0
0,47,52,103,recent_tail,0,raw,raw,hot,100,0,0,hard,structured_records,50.0,tmh_fidelity_paged_kv,1,104,84,52,True,0
0,31,1,51,prefill_payload,0,int8,int4,warm,25,75,50,hard,structured_records,50.0,tmh_fidelity_paged_kv,2,104,84,52,True,0
32,47,1,51,late_layer_payload,0,int8,int8,warm,35,65,50,hard,structured_records,50.0,tmh_fidelity_paged_kv,3,104,84,52,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,instruction_persistence,50.0,tmh_fidelity_paged_kv,0,172,156,86,True,0
0,47,86,171,recent_tail,0,raw,raw,hot,100,0,0,hard,instruction_persistence,50.0,tmh_fidelity_paged_kv,1,172,156,86,True,0
0,31,1,85,prefill_payload,0,int8,int4,warm,25,75,50,hard,instruction_persistence,50.0,tmh_fidelity_paged_kv,2,172,156,86,True,0
32,47,1,85,late_layer_payload,0,int8,int8,warm,35,65,50,hard,instruction_persistence,50.0,tmh_fidelity_paged_kv,3,172,156,86,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,multi_hop_bridge,50.0,tmh_fidelity_paged_kv,0,100,80,50,True,0
0,47,50,99,recent_tail,0,raw,raw,hot,100,0,0,hard,multi_hop_bridge,50.0,tmh_fidelity_paged_kv,1,100,80,50,True,0
0,31,1,49,prefill_payload,0,int8,int4,warm,25,75,50,hard,multi_hop_bridge,50.0,tmh_fidelity_paged_kv,2,100,80,50,True,0
32,47,1,49,late_layer_payload,0,int8,int8,warm,35,65,50,hard,multi_hop_bridge,50.0,tmh_fidelity_paged_kv,3,100,80,50,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,payload_dense,50.0,tmh_fidelity_paged_kv,0,178,154,89,True,0
0,47,89,177,recent_tail,0,raw,raw,hot,100,0,0,hard,payload_dense,50.0,tmh_fidelity_paged_kv,1,178,154,89,True,0
0,31,1,88,prefill_payload,0,int8,int4,warm,25,75,50,hard,payload_dense,50.0,tmh_fidelity_paged_kv,2,178,154,89,True,0
32,47,1,88,late_layer_payload,0,int8,int8,warm,35,65,50,hard,payload_dense,50.0,tmh_fidelity_paged_kv,3,178,154,89,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,long_generation_systems,50.0,tmh_fidelity_paged_kv,0,93,45,46,True,0
0,47,46,92,recent_tail,0,raw,raw,hot,100,0,0,hard,long_generation_systems,50.0,tmh_fidelity_paged_kv,1,93,45,46,True,0
0,31,1,45,prefill_payload,0,int8,int4,warm,25,75,50,hard,long_generation_systems,50.0,tmh_fidelity_paged_kv,2,93,45,46,True,0
