layer_start,layer_end,page_start,page_end,semantic_class,pin,k_precision_name,v_precision_name,residency_tier,promotion_priority,demotion_priority,recompute_priority,authority,case,budget_pct,kv_layout,range_ordinal,used_pages,prompt_pages,recent_start_page,plan_validation_ok,shadowed_layer_page_matches
0,47,124,247,recent_tail,0,raw,raw,hot,100,0,0,hard,early_anchor_long_tail,50.0,tmh_fidelity_paged_kv,1,248,236,124,True,0
0,31,1,123,prefill_payload,0,int8,int4,warm,25,75,50,hard,early_anchor_long_tail,50.0,tmh_fidelity_paged_kv,2,248,236,124,True,0
32,47,1,123,late_layer_payload,0,int8,int8,warm,35,65,50,hard,early_anchor_long_tail,50.0,tmh_fidelity_paged_kv,3,248,236,124,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,middle_anchor_detour,50.0,tmh_fidelity_paged_kv,0,199,183,99,True,0
0,47,99,198,recent_tail,0,raw,raw,hot,100,0,0,hard,middle_anchor_detour,50.0,tmh_fidelity_paged_kv,1,199,183,99,True,0
0,31,1,98,prefill_payload,0,int8,int4,warm,25,75,50,hard,middle_anchor_detour,50.0,tmh_fidelity_paged_kv,2,199,183,99,True,0
32,47,1,98,late_layer_payload,0,int8,int8,warm,35,65,50,hard,middle_anchor_detour,50.0,tmh_fidelity_paged_kv,3,199,183,99,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,late_anchor_control,50.0,tmh_fidelity_paged_kv,0,131,119,65,True,0
0,47,65,130,recent_tail,0,raw,raw,hot,100,0,0,hard,late_anchor_control,50.0,tmh_fidelity_paged_kv,1,131,119,65,True,0
0,31,1,64,prefill_payload,0,int8,int4,warm,25,75,50,hard,late_anchor_control,50.0,tmh_fidelity_paged_kv,2,131,119,65,True,0
32,47,1,64,late_layer_payload,0,int8,int8,warm,35,65,50,hard,late_anchor_control,50.0,tmh_fidelity_paged_kv,3,131,119,65,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,decoy_collision,50.0,tmh_fidelity_paged_kv,0,143,127,71,True,0
0,47,71,142,recent_tail,0,raw,raw,hot,100,0,0,hard,decoy_collision,50.0,tmh_fidelity_paged_kv,1,143,127,71,True,0
0,31,1,70,prefill_payload,0,int8,int4,warm,25,75,50,hard,decoy_collision,50.0,tmh_fidelity_paged_kv,2,143,127,71,True,0
32,47,1,70,late_layer_payload,0,int8,int8,warm,35,65,50,hard,decoy_collision,50.0,tmh_fidelity_paged_kv,3,143,127,71,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,routing_table,50.0,tmh_fidelity_paged_kv,0,140,124,70,True,0
0,47,70,139,recent_tail,0,raw,raw,hot,100,0,0,hard,routing_table,50.0,tmh_fidelity_paged_kv,1,140,124,70,True,0
0,31,1,69,prefill_payload,0,int8,int4,warm,25,75,50,hard,routing_table,50.0,tmh_fidelity_paged_kv,2,140,124,70,True,0
